id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,666,3,WAITING FOR / 8 BITS CPU,1
2,unlabelled,0002-unlabelled,699,699,1,BALLS OK,2
3,unlabelled,0003-unlabelled,1783,1783,1,,3
4,unlabelled,0004-unlabelled,1916,1949,2,,4
5,unlabelled,0005-unlabelled,1966,8283,268,,5
6,boot,0006-boot,8316,9316,38,,6
7,boot,0007-boot,9349,9349,1,,7
8,boot,0008-boot,9383,9383,1,,8
9,boot,0009-boot,9400,9400,1,1 1 / PLAYER BALL,9
10,boot,0010-boot,9433,9433,1,PLAYER BALL,10
11,boot,0011-boot,9483,9500,2,PLAYER BALL,11
12,boot,0012-boot,9550,9550,1,PLAYER BALL,12
13,boot,0013-boot,9600,9866,11,PLAYER BALL,13
14,boot,0014-boot,9883,9883,1,BALL,14
15,boot,0015-boot,9933,9983,2,BALL,15
16,boot,0016-boot,10000,10000,1,PLAYER BALL,16
17,boot,0017-boot,10050,10050,1,PLAYER BALL,17
18,boot,0018-boot,10100,10100,1,PLAYER BALL,18
19,boot,0019-boot,10166,10166,1,BALL,19
20,boot,0020-boot,10216,10216,1,BALL,20
21,boot,0021-boot,10266,10266,1,PLAYER BALL,21
22,start,0022-start,10316,10316,1,PLAYER BALL,22
23,start,0023-start,10383,10383,1,BALL,23
24,start,0024-start,10433,10433,1,BALL,24
25,start,0025-start,10483,10483,1,PLAYER BALL,25
26,start,0026-start,10550,10550,1,PLAYER BALL,26
27,start,0027-start,10600,10600,1,BALL,27
28,start,0028-start,10650,10650,1,PLAYER BALL,28
29,start,0029-start,10700,10700,1,PLAYER BALL,29
30,start,0030-start,10766,10766,1,PLAYER BALL,30
31,start,0031-start,10816,10816,1,PLAYER BALL,31
32,start,0032-start,10866,10866,1,PLAYER BALL,32
33,start,0033-start,10933,10933,1,PLAYER BALL,33
34,start,0034-start,10983,10983,1,PLAYER BALL,34
35,start,0035-start,11033,11033,1,PLAYER BALL,35
36,start,0036-start,11083,11083,1,PLAYER BALL,36
37,start,0037-start,11150,11150,1,BALL,37
38,start,0038-start,11200,11200,1,PLAYER BALL,38
39,start,0039-start,11250,11250,1,PLAYER BALL,39
40,start,0040-start,11316,11316,1,PLAYER BALL,40
41,start,0041-start,11366,11366,1,PLAYER BALL,41
42,start,0042-start,11416,11416,1,PLAYER BALL,42
43,start,0043-start,11466,11483,2,PLAYER BALL,43
44,start,0044-start,11533,11550,2,PLAYER BALL,44
45,start,0045-start,11583,11600,2,PLAYER BALL,45
46,start,0046-start,11633,11650,2,PLAYER BALL,46
47,start,0047-start,11700,11850,6,PLAYER BALL,47
48,start,0048-start,11866,11933,3,PLAYER BALL,48
49,start,0049-start,11983,11983,1,PLAYER BALL,49
50,start,0050-start,12033,15783,50,1 1 / PLAYER BALL,50
51,plunge,0051-plunge,15983,20833,30,1 1 / PLAYER BALL,51
52,plunge,0052-plunge,20966,20966,1,,52
53,plunge,0053-plunge,20999,20999,1,,3
54,orbits-1,0054-orbits-1,21016,21166,2,,54
55,orbits-1,0055-orbits-1,23149,23149,1,,3
56,orbits-1,0056-orbits-1,23166,23166,1,,56
57,orbits-2,0057-orbits-2,23316,23449,2,,57
58,orbits-2,0058-orbits-2,25299,25299,1,,58
59,orbits-2,0059-orbits-2,25316,25316,1,1 1 / PLAYER BALL,9
60,orbits-3,0060-orbits-3,25349,25349,1,,60
61,orbits-3,0061-orbits-3,25383,25383,1,,3
62,orbits-3,0062-orbits-3,25399,25833,6,,62
63,orbits-3,0063-orbits-3,27466,27466,1,,3
64,orbits-3,0064-orbits-3,27499,27499,1,,56
65,orbits-4,0065-orbits-4,27633,29649,7,,65
66,orbits-4,0066-orbits-4,29666,29666,1,,3
67,orbits-5,0067-orbits-5,29683,31799,9,,67
68,orbits-5,0068-orbits-5,31816,31816,1,,3
69,orbits-5,0069-orbits-5,31833,31833,1,,69
70,orbits-6,0070-orbits-6,31849,32666,7,,70
71,orbits-complete,0071-orbits-complete,33999,33999,1,,71
72,orbits-complete,0072-orbits-complete,34016,35066,10,1 1 / PLAYER BALL,72
73,lm-lock-1,0073-lm-lock-1,35233,35499,4,1 1 / PLAYER BALL,73
74,lm-lock-1,0074-lm-lock-1,35516,35516,1,,3
75,lm-lock-1,0075-lm-lock-1,35533,35649,4,,75
76,lm-lock-1,0076-lm-lock-1,35783,35899,3,,75
77,lm-lock-1,0077-lm-lock-1,36033,36033,1,,77
78,lm-lock-1,0078-lm-lock-1,36149,36149,1,,75
79,lm-lock-1,0079-lm-lock-1,36283,36283,1,,77
80,lm-lock-1,0080-lm-lock-1,36399,36399,1,,75
81,lm-lock-1,0081-lm-lock-1,36533,36533,1,,77
82,lm-lock-1,0082-lm-lock-1,36633,36633,1,,75
83,lm-lock-1,0083-lm-lock-1,36783,36783,1,,77
84,lm-lock-1,0084-lm-lock-1,36883,36883,1,,75
85,lm-lock-1,0085-lm-lock-1,37016,37016,1,,77
86,lm-lock-1,0086-lm-lock-1,37133,37133,1,,75
87,lm-lock-1,0087-lm-lock-1,37266,40016,21,1 1 / PLAYER BALL,87
88,lm-replacement-1,0088-lm-replacement-1,40200,44083,26,1 1 / PLAYER BALL,88
89,lm-scoop1-1,0089-lm-scoop1-1,44283,47200,18,1 1 / PLAYER BALL,89
90,lm-scoop1-1,0090-lm-scoop1-1,47250,47250,1,,3
91,lm-scoop1-1,0091-lm-scoop1-1,47283,47283,1,,91
92,lm-scoop1-1,0092-lm-scoop1-1,47333,47333,1,,92
93,lm-scoop1-1,0093-lm-scoop1-1,47416,47433,2,,91
94,lm-scoop1-1,0094-lm-scoop1-1,47466,47483,2,,92
95,lm-scoop1-1,0095-lm-scoop1-1,47550,47566,2,,91
96,lm-scoop1-1,0096-lm-scoop1-1,47616,47616,1,,92
97,lm-scoop1-1,0097-lm-scoop1-1,47700,47700,1,,91
98,lm-scoop1-1,0098-lm-scoop1-1,47750,47750,1,,98
99,lm-scoop1-1,0099-lm-scoop1-1,47766,47833,2,,99
100,lm-scoop1-1,0100-lm-scoop1-1,47850,47883,2,,100
101,lm-scoop1-1,0101-lm-scoop1-1,47900,47900,1,,92
102,lm-scoop1-1,0102-lm-scoop1-1,47983,47983,1,,91
103,lm-scoop1-1,0103-lm-scoop1-1,48033,48033,1,,92
104,lm-scoop1-1,0104-lm-scoop1-1,48116,48116,1,,91
105,lm-scoop1-1,0105-lm-scoop1-1,48166,48166,1,,92
