id,label,dir,first_ms,last_ms,frames,text
1,unlabelled,0001-unlabelled,316,333,2,WAITING FOR / 8 BITS CPU
2,unlabelled,0002-unlabelled,416,449,2,SETTING / DEFAULT VALUES / PRESS START
3,boot,0003-boot,699,699,1,
4,boot,0004-boot,1099,1099,1,BALLS OK
5,boot,0005-boot,2183,2183,1,
6,boot,0006-boot,2266,2266,1,
7,boot,0007-boot,2316,10616,355,
8,attract,0008-attract,10650,11166,20,
9,attract,0009-attract,11200,11200,1,
10,attract,0010-attract,11233,12666,2,
11,attract,0011-attract,14100,15550,3,
12,attract,0012-attract,16966,16966,1,
13,attract,0013-attract,18400,18400,1,
14,attract,0014-attract,19816,19816,1,
15,attract,0015-attract,19833,19833,1,
16,attract,0016-attract,19849,20016,6,
17,attract,0017-attract,20066,20233,4,
18,attract,0018-attract,20283,20449,4,
19,attract,0019-attract,20499,20616,3,
20,credit,0020-credit,20666,20666,1,
21,credit,0021-credit,20716,20716,1,
22,credit,0022-credit,20749,20749,1,
23,credit,0023-credit,21183,21183,1,
24,credit,0024-credit,21216,21216,1,
25,credit,0025-credit,21649,21649,1,
26,credit,0026-credit,21666,21666,1,
27,credit,0027-credit,21683,22616,42,
28,ball-1-start,0028-ball-1-start,22649,22683,2,
29,ball-1-start,0029-ball-1-start,22699,22699,1,
30,ball-1-start,0030-ball-1-start,22733,22733,1,
31,ball-1-start,0031-ball-1-start,22766,22766,1,
32,ball-1-start,0032-ball-1-start,22783,22783,1,
33,ball-1-start,0033-ball-1-start,22849,22899,3,
34,ball-1-start,0034-ball-1-start,22949,22949,1,
35,ball-1-start,0035-ball-1-start,23016,23033,2,
36,ball-1-start,0036-ball-1-start,23066,23066,1,
37,ball-1-start,0037-ball-1-start,23116,23116,1,
38,ball-1-start,0038-ball-1-start,23166,23199,2,
39,ball-1-start,0039-ball-1-start,23233,23233,1,
40,ball-1-start,0040-ball-1-start,23283,23283,1,
41,ball-1-start,0041-ball-1-start,23333,23366,2,
42,ball-1-start,0042-ball-1-start,23399,23399,1,
43,ball-1-start,0043-ball-1-start,23449,23466,2,
44,ball-1-start,0044-ball-1-start,23499,23533,3,
45,ball-1-start,0045-ball-1-start,23549,23566,2,
46,ball-1-start,0046-ball-1-start,23616,23616,1,
47,ball-1-start,0047-ball-1-start,23666,23699,3,
48,ball-1-start,0048-ball-1-start,23716,23733,2,
49,ball-1-start,0049-ball-1-start,23783,23833,2,
50,ball-1-start,0050-ball-1-start,23849,23883,3,
51,ball-1-start,0051-ball-1-start,23899,23933,2,
52,ball-1-start,0052-ball-1-start,23949,23949,1,
53,ball-1-start,0053-ball-1-start,24016,24033,2,
54,ball-1-start,0054-ball-1-start,24066,24066,1,
55,ball-1-start,0055-ball-1-start,24116,24116,1,
56,ball-1-start,0056-ball-1-start,24166,24199,2,
57,ball-1-start,0057-ball-1-start,24233,24233,1,
58,ball-1-start,0058-ball-1-start,24283,24283,1,
59,ball-1-start,0059-ball-1-start,24333,24366,2,
60,ball-1-start,0060-ball-1-start,24399,24399,1,
61,ball-1-start,0061-ball-1-start,24449,24449,1,
62,ball-1-start,0062-ball-1-start,24499,24533,2,
63,ball-1-start,0063-ball-1-start,24549,24549,1,
64,ball-1-start,0064-ball-1-start,24616,24616,1,
65,ball-1-start,0065-ball-1-start,24666,24699,2,
66,ball-1-start,0066-ball-1-start,24716,24716,1,
67,ball-1-start,0067-ball-1-start,24783,24783,1,
68,ball-1-start,0068-ball-1-start,24833,24849,2,
69,ball-1-start,0069-ball-1-start,24883,24883,1,
70,ball-1-start,0070-ball-1-start,24933,24933,1,
71,ball-1-start,0071-ball-1-start,24999,25016,2,
72,ball-1-start,0072-ball-1-start,25049,25049,1,
73,ball-1-start,0073-ball-1-start,25099,25099,1,
74,ball-1-in-play,0074-ball-1-in-play,25166,25183,2,
75,ball-1-in-play,0075-ball-1-in-play,25216,25216,1,
76,ball-1-in-play,0076-ball-1-in-play,25266,25266,1,
77,ball-1-in-play,0077-ball-1-in-play,25316,25349,2,
78,ball-1-in-play,0078-ball-1-in-play,25383,27683,47,
79,ball-1-in-play,0079-ball-1-in-play,28199,28199,1,
80,ball-1-in-play,0080-ball-1-in-play,28233,28783,2,
81,ball-1-in-play,0081-ball-1-in-play,28799,28999,2,
82,ball-1-in-play,0082-ball-1-in-play,29049,29049,1,
83,ball-1-in-play,0083-ball-1-in-play,29083,29083,1,
84,ball-1-in-play,0084-ball-1-in-play,29133,29516,8,
85,ball-1-in-play,0085-ball-1-in-play,29566,29566,1,
86,ball-1-in-play,0086-ball-1-in-play,29583,29583,1,
