id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,333,2,WAITING FOR / 8 BITS CPU,1
2,unlabelled,0002-unlabelled,416,449,2,SETTING / DEFAULT VALUES / PRESS START,2
3,unlabelled,0003-unlabelled,699,699,1,,3
4,unlabelled,0004-unlabelled,1133,1133,1,BOLAS OK,4
5,unlabelled,0005-unlabelled,2233,2233,1,,3
6,unlabelled,0006-unlabelled,2299,2299,1,,6
7,unlabelled,0007-unlabelled,2349,11200,376,,7
8,unlabelled,0008-unlabelled,11233,11233,1,,3
9,unlabelled,0009-unlabelled,11250,12700,2,,9
10,unlabelled,0010-unlabelled,14133,14133,1,,10
11,attract,0011-attract,15550,15566,2,,11
12,attract,0012-attract,17000,17000,1,,12
13,attract,0013-attract,18433,18433,1,,13
14,attract,0014-attract,19849,19849,1,,14
15,attract,0015-attract,19866,20033,5,,15
16,attract,0016-attract,20083,20249,4,,15
17,attract,0017-attract,20316,20466,4,,15
18,attract,0018-attract,20533,20699,4,,15
19,attract,0019-attract,20749,21466,14,,19
20,attract,0020-attract,21516,21516,1,,20
21,attract,0021-attract,21533,21533,1,,3
22,attract,0022-attract,21549,21549,1,,22
23,attract,0023-attract,22399,22399,1,,3
24,attract,0024-attract,22433,22433,1,,24
25,open-menu,0025-open-menu,23333,23533,10,,25
26,open-menu,0026-open-menu,23549,23549,1,SONIDO/VIDEO / JUEGO / TECNICO,26
27,svc-root,0027-svc-root,41700,41733,3,VOLUMEN / PUBLICIDAD,27
28,svc-branch-1-enter,0028-svc-branch-1-enter,48366,48400,2,VOLUMEN / PUBLICIDAD,28
29,svc-branch-1-item-1,0029-svc-branch-1-item-1,54183,54216,2,VOLUMEN / PUBLICIDAD,27
30,svc-branch-1-item-2,0030-svc-branch-1-item-2,60033,60066,2,VOLUMEN / PUBLICIDAD,28
31,svc-branch-1-item-3,0031-svc-branch-1-item-3,65850,65883,2,VOLUMEN / PUBLICIDAD,27
32,svc-branch-1-item-4,0032-svc-branch-1-item-4,71700,71733,2,VOLUMEN / PUBLICIDAD,28
33,svc-branch-1-item-5,0033-svc-branch-1-item-5,77516,77516,1,,33
34,svc-branch-1-item-5,0034-svc-branch-1-item-5,77550,77550,1,,34
35,svc-branch-1-leaf,0035-svc-branch-1-leaf,85016,85016,1,AA,35
36,svc-branch-1-back,0036-svc-branch-1-back,90866,90866,1,AAA,36
37,svc-back-to-root-1,0037-svc-back-to-root-1,97516,97683,3,AA8,37
38,svc-root-scroll-1,0038-svc-root-scroll-1,102550,102683,3,AAA,36
39,svc-branch-2-enter,0039-svc-branch-2-enter,109183,109350,3,AA8,37
40,svc-branch-2-item-1,0040-svc-branch-2-item-1,115033,115200,3,AA5,40
41,svc-branch-2-item-2,0041-svc-branch-2-item-2,120850,121016,3,AA2,41
42,svc-branch-2-item-3,0042-svc-branch-2-item-3,126700,126850,3,AA,42
43,svc-branch-2-item-4,0043-svc-branch-2-item-4,132533,132633,3,AA,43
44,svc-branch-2-item-5,0044-svc-branch-2-item-5,138349,138516,3,AA,42
45,svc-branch-2-leaf,0045-svc-branch-2-leaf,145849,145849,1,,45
46,svc-branch-2-back,0046-svc-branch-2-back,151699,151699,1,--,46
47,svc-back-to-root-2,0047-svc-back-to-root-2,158349,158516,3,---,47
48,svc-root-scroll-2,0048-svc-root-scroll-2,163366,163533,3,--,48
49,svc-root-scroll-3,0049-svc-root-scroll-3,168366,168466,3,---,47
50,svc-branch-3-enter,0050-svc-branch-3-enter,175033,175199,3,--,48
51,svc-branch-3-item-1,0051-svc-branch-3-item-1,180849,181016,3,--,51
52,svc-branch-3-item-2,0052-svc-branch-3-item-2,186699,186849,3,--,52
53,svc-branch-3-item-3,0053-svc-branch-3-item-3,192533,192633,3,--,53
54,svc-branch-3-item-4,0054-svc-branch-3-item-4,198349,198516,3,--,54
55,svc-branch-3-item-5,0055-svc-branch-3-item-5,204199,204366,3,--,53
56,svc-branch-3-leaf,0056-svc-branch-3-leaf,211699,211699,1,ZA,56
57,svc-branch-3-back,0057-svc-branch-3-back,217516,217516,1,ZAA,57
