id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,666,3,ESPERANDO / CPU 8 BITS,1
2,unlabelled,0002-unlabelled,699,699,1,BOLAS OK,2
3,unlabelled,0003-unlabelled,1783,1783,1,,3
4,unlabelled,0004-unlabelled,1849,1849,1,,4
5,unlabelled,0005-unlabelled,2299,2299,1,,3
6,unlabelled,0006-unlabelled,2349,2349,1,,6
7,unlabelled,0007-unlabelled,2400,11250,376,,7
8,unlabelled,0008-unlabelled,11283,11283,1,,3
9,unlabelled,0009-unlabelled,11316,12750,2,,9
10,unlabelled,0010-unlabelled,14183,15616,2,,10
11,unlabelled,0011-unlabelled,17050,17050,1,,11
12,unlabelled,0012-unlabelled,18483,18483,1,,12
13,unlabelled,0013-unlabelled,19899,19899,1,,3
14,unlabelled,0014-unlabelled,19916,19916,1,,14
15,unlabelled,0015-unlabelled,19933,20083,4,,15
16,unlabelled,0016-unlabelled,20149,20316,4,,15
17,unlabelled,0017-unlabelled,20366,20533,4,,15
18,unlabelled,0018-unlabelled,20583,20749,4,,15
19,unlabelled,0019-unlabelled,20799,21533,15,,19
20,unlabelled,0020-unlabelled,21566,21566,1,,20
21,unlabelled,0021-unlabelled,21583,21583,1,,3
22,unlabelled,0022-unlabelled,21599,21616,2,,22
23,unlabelled,0023-unlabelled,22466,22466,1,,3
24,unlabelled,0024-unlabelled,22483,23683,18,50 00,24
25,unlabelled,0025-unlabelled,24549,24549,1,,3
26,unlabelled,0026-unlabelled,24583,25783,19,00,26
27,unlabelled,0027-unlabelled,26649,26649,1,,3
28,unlabelled,0028-unlabelled,26683,27916,14,00,28
29,unlabelled,0029-unlabelled,27933,27933,1,,29
30,unlabelled,0030-unlabelled,27949,27949,1,,30
31,unlabelled,0031-unlabelled,28066,28066,1,,3
32,unlabelled,0032-unlabelled,28199,28199,1,,30
33,unlabelled,0033-unlabelled,28316,28316,1,,3
34,unlabelled,0034-unlabelled,28449,28449,1,,30
35,unlabelled,0035-unlabelled,28549,28549,1,,3
36,unlabelled,0036-unlabelled,28583,28633,2,,36
37,unlabelled,0037-unlabelled,29766,29766,1,,37
38,unlabelled,0038-unlabelled,29783,29783,1,,38
39,unlabelled,0039-unlabelled,29799,29799,1,,6
40,unlabelled,0040-unlabelled,29849,38700,379,,7
41,unlabelled,0041-unlabelled,38733,38733,1,,3
42,unlabelled,0042-unlabelled,38766,38766,1,,42
43,unlabelled,0043-unlabelled,40200,41633,3,,43
44,unlabelled,0044-unlabelled,43066,44500,2,,44
45,unlabelled,0045-unlabelled,45916,45916,1,,3
46,unlabelled,0046-unlabelled,45933,46100,5,,15
47,unlabelled,0047-unlabelled,46166,46316,4,,15
48,unlabelled,0048-unlabelled,46383,46550,4,,15
49,unlabelled,0049-unlabelled,46600,46766,4,,15
50,unlabelled,0050-unlabelled,46816,47550,16,,19
51,unlabelled,0051-unlabelled,47583,47583,1,,20
52,unlabelled,0052-unlabelled,47600,47600,1,,3
53,unlabelled,0053-unlabelled,47616,47616,1,,22
54,unlabelled,0054-unlabelled,48500,51933,79,,54
55,unlabelled,0055-unlabelled,52016,57533,119,,55
56,unlabelled,0056-unlabelled,57566,57566,1,,56
57,unlabelled,0057-unlabelled,57583,57583,1,,3
58,unlabelled,0058-unlabelled,57600,57600,1,,58
59,unlabelled,0059-unlabelled,57616,57616,1,S.,59
60,unlabelled,0060-unlabelled,57650,57650,1,S.M,60
