id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,333,2,WAITING FOR / 8 BITS CPU,1
2,unlabelled,0002-unlabelled,416,449,2,SETTING / DEFAULT VALUES / PRESS START,2
3,boot,0003-boot,699,699,1,,3
4,boot,0004-boot,1099,1099,1,BALLS OK,4
5,boot,0005-boot,2183,2183,1,,3
6,boot,0006-boot,2266,2266,1,,6
7,boot,0007-boot,2316,3283,36,,7
8,credit,0008-credit,3316,3400,4,,8
9,credit,0009-credit,3416,3933,4,,9
10,ball-1-start,0010-ball-1-start,4333,4333,1,,3
11,ball-1-start,0011-ball-1-start,4400,4400,1,,11
12,ball-1-start,0012-ball-1-start,4416,4416,1,,12
13,ball-1-start,0013-ball-1-start,4450,4450,1,,13
14,ball-1-start,0014-ball-1-start,4500,4550,3,,14
15,ball-1-start,0015-ball-1-start,4616,4616,1,,15
16,ball-1-start,0016-ball-1-start,4666,4699,2,,16
17,ball-1-start,0017-ball-1-start,4716,4716,1,,17
18,ball-1-start,0018-ball-1-start,4783,4783,1,,18
19,ball-1-start,0019-ball-1-start,4833,4849,2,,19
20,ball-1-start,0020-ball-1-start,4883,4883,1,,20
21,ball-1-start,0021-ball-1-start,4933,4933,1,,21
22,ball-1-start,0022-ball-1-start,4999,5016,2,,22
23,ball-1-start,0023-ball-1-start,5049,5049,1,,23
24,ball-1-start,0024-ball-1-start,5099,5099,1,,24
25,ball-1-start,0025-ball-1-start,5166,5183,2,,25
26,ball-1-start,0026-ball-1-start,5216,5216,1,,26
27,ball-1-start,0027-ball-1-start,5266,5266,1,,27
28,ball-1-start,0028-ball-1-start,5316,5349,2,,28
29,ball-1-start,0029-ball-1-start,5383,5399,2,,29
30,ball-1-start,0030-ball-1-start,5433,5449,2,,30
31,ball-1-start,0031-ball-1-start,5483,5516,3,,31
32,ball-1-start,0032-ball-1-start,5549,5549,1,,32
33,ball-1-start,0033-ball-1-start,5599,5616,2,,33
34,ball-1-start,0034-ball-1-start,5649,5816,8,,34
35,ball-1-start,0035-ball-1-start,5833,5883,4,,35
36,ball-1-start,0036-ball-1-start,5933,5983,2,,36
37,ball-1-start,0037-ball-1-start,5999,6016,2,,37
38,ball-1-start,0038-ball-1-start,6049,6049,1,,38
39,ball-1-start,0039-ball-1-start,6099,6099,1,,39
40,ball-1-start,0040-ball-1-start,6166,6183,2,,40
41,ball-1-start,0041-ball-1-start,6216,6216,1,,41
42,ball-1-start,0042-ball-1-start,6266,6266,1,,42
43,ball-1-start,0043-ball-1-start,6316,6349,2,,43
44,ball-1-start,0044-ball-1-start,6383,6383,1,,44
45,ball-1-start,0045-ball-1-start,6433,6433,1,,45
46,ball-1-start,0046-ball-1-start,6483,6516,2,,46
47,ball-1-start,0047-ball-1-start,6549,6549,1,,47
48,ball-1-start,0048-ball-1-start,6599,6599,1,,48
49,ball-1-start,0049-ball-1-start,6649,6683,2,,49
50,ball-1-start,0050-ball-1-start,6699,6699,1,,50
51,ball-1-start,0051-ball-1-start,6766,6766,1,,51
52,ball-1-start,0052-ball-1-start,6816,6849,2,,52
53,ball-1-start,0053-ball-1-start,6866,6866,1,,53
54,ball-1-start,0054-ball-1-start,6933,6933,1,,54
55,ball-1-start,0055-ball-1-start,6983,7016,2,,55
56,ball-1-start,0056-ball-1-start,7033,19933,171,,56
57,ball-1-start,0057-ball-1-start,19949,19983,2,BALL OUT ERROR,57
