id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,333,2,WAITING FOR / 8 BITS CPU,1
2,unlabelled,0002-unlabelled,416,450,2,SETTING / DEFAULT VALUES / PRESS START,2
3,boot,0003-boot,699,699,1,,3
4,boot,0004-boot,1099,1099,1,BALLS OK,4
5,boot,0005-boot,2183,2183,1,,3
6,boot,0006-boot,2266,2266,1,,6
7,boot,0007-boot,2316,6699,188,,7
8,boot,0008-boot,6816,6816,1,,8
9,boot,0009-boot,6849,6866,2,GROUP: T17-18-19 / CUT OR / FUSE F4,9
10,boot,0010-boot,10133,10133,1,,3
11,boot,0011-boot,10266,10300,2,GROUP: T17-18-19 / CUT OR / FUSE F4,9
12,boot,0012-boot,13566,13566,1,FUSE F4,12
13,boot,0013-boot,13583,13583,1,,3
14,boot,0014-boot,13600,13600,1,,14
15,boot,0015-boot,13616,18050,195,,15
16,boot,0016-boot,18083,18083,1,,3
17,boot,0017-boot,18100,19549,3,,17
18,boot,0018-boot,20966,23849,4,,18
