id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,333,2,WAITING FOR / 8 BITS CPU,1
2,unlabelled,0002-unlabelled,416,450,2,SETTING / DEFAULT VALUES / PRESS START,2
3,boot,0003-boot,699,699,1,,3
4,boot,0004-boot,1099,1099,1,BALLS OK,4
5,boot,0005-boot,2183,2183,1,,3
6,boot,0006-boot,2266,2266,1,,6
7,boot,0007-boot,2316,6899,193,,7
8,boot,0008-boot,6933,6933,1,,8
9,boot,0009-boot,6949,6949,1,,9
10,boot,0010-boot,6983,6983,1,GROUP: T17-18-19 / SHORT / CANNOT CONTINUE,10
