id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,333,2,WAITING FOR / 8 BITS CPU,1
2,boot,0002-boot,666,666,1,BALLS OK,2
3,boot,0003-boot,1783,1783,1,,3
4,boot,0004-boot,1816,1816,1,,4
5,boot,0005-boot,1833,3283,57,,5
6,credit,0006-credit,3316,3400,4,,6
7,credit,0007-credit,3416,3933,4,,7
8,ball-1-start,0008-ball-1-start,4333,4333,1,,3
9,ball-1-start,0009-ball-1-start,4399,4399,1,,9
10,ball-1-start,0010-ball-1-start,4416,4416,1,,10
11,ball-1-start,0011-ball-1-start,4449,4449,1,,11
12,ball-1-start,0012-ball-1-start,4499,4549,3,,12
13,ball-1-start,0013-ball-1-start,4616,4616,1,,13
14,ball-1-start,0014-ball-1-start,4666,4699,2,,14
15,ball-1-start,0015-ball-1-start,4716,4716,1,,15
16,ball-1-start,0016-ball-1-start,4783,4783,1,,16
17,ball-1-start,0017-ball-1-start,4833,4849,2,,17
18,ball-1-start,0018-ball-1-start,4883,4883,1,,18
19,ball-1-start,0019-ball-1-start,4933,4933,1,,19
20,ball-1-start,0020-ball-1-start,4999,5016,2,,20
21,ball-1-start,0021-ball-1-start,5049,5049,1,,21
22,ball-1-start,0022-ball-1-start,5099,5099,1,,22
23,ball-1-start,0023-ball-1-start,5166,5183,2,,23
24,ball-1-start,0024-ball-1-start,5216,5216,1,,24
25,ball-1-start,0025-ball-1-start,5266,5266,1,,25
26,ball-1-start,0026-ball-1-start,5316,5349,2,,26
27,ball-1-start,0027-ball-1-start,5383,5399,2,,27
28,ball-1-start,0028-ball-1-start,5433,5449,2,,28
29,ball-1-start,0029-ball-1-start,5483,5516,3,,29
30,ball-1-start,0030-ball-1-start,5549,5549,1,,30
31,ball-1-start,0031-ball-1-start,5599,5616,2,,31
32,ball-1-start,0032-ball-1-start,5649,5816,8,,32
33,ball-1-start,0033-ball-1-start,5833,5883,4,,33
34,ball-1-start,0034-ball-1-start,5933,5983,2,,34
35,ball-1-start,0035-ball-1-start,5999,6016,2,,35
36,ball-1-start,0036-ball-1-start,6049,6049,1,,36
37,ball-1-start,0037-ball-1-start,6099,6099,1,,37
38,ball-1-start,0038-ball-1-start,6166,6183,2,,38
39,ball-1-start,0039-ball-1-start,6216,6216,1,,39
40,ball-1-start,0040-ball-1-start,6266,6266,1,,40
41,ball-1-start,0041-ball-1-start,6316,6349,2,,41
42,ball-1-start,0042-ball-1-start,6383,6383,1,,42
43,ball-1-start,0043-ball-1-start,6433,6433,1,,43
44,ball-1-start,0044-ball-1-start,6483,6516,2,,44
45,ball-1-start,0045-ball-1-start,6549,6549,1,,45
46,ball-1-start,0046-ball-1-start,6599,6599,1,,46
47,ball-1-start,0047-ball-1-start,6649,6683,2,,47
48,ball-1-start,0048-ball-1-start,6699,6699,1,,48
49,ball-1-start,0049-ball-1-start,6766,6766,1,,49
50,ball-1-start,0050-ball-1-start,6816,6849,2,,50
51,ball-1-start,0051-ball-1-start,6866,6866,1,,51
52,ball-1-start,0052-ball-1-start,6933,6933,1,,52
53,ball-1-start,0053-ball-1-start,6983,7016,2,,53
54,ball-1-start,0054-ball-1-start,7033,8283,32,,54
55,tilt-1,0055-tilt-1,8333,8333,1,,55
56,tilt-1,0056-tilt-1,8366,8366,1,,3
57,tilt-1,0057-tilt-1,8466,8466,1,WARNING / ONE TILT,57
58,tilt-1,0058-tilt-1,12833,14866,15,,58
59,tilt-2,0059-tilt-2,15033,15033,1,,3
60,tilt-2,0060-tilt-2,15150,15150,1,WARNING / TWO TILTS,60
61,tilt-2,0061-tilt-2,19466,19933,8,,61
62,settle,0062-settle,20116,23233,20,,62
