id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,333,2,WAITING FOR / 8 BITS CPU,1
2,unlabelled,0002-unlabelled,416,449,2,SETTING / DEFAULT VALUES / PRESS START,2
3,unlabelled,0003-unlabelled,699,699,1,,3
4,unlabelled,0004-unlabelled,1133,1133,1,BALLS OK,4
5,unlabelled,0005-unlabelled,2233,2233,1,,3
6,unlabelled,0006-unlabelled,2299,2299,1,,6
7,unlabelled,0007-unlabelled,2349,11200,376,,7
8,unlabelled,0008-unlabelled,11233,11233,1,,3
9,unlabelled,0009-unlabelled,11250,12700,2,,9
10,unlabelled,0010-unlabelled,14133,15566,3,,10
11,unlabelled,0011-unlabelled,17000,17000,1,,11
12,unlabelled,0012-unlabelled,18433,18433,1,,12
13,unlabelled,0013-unlabelled,19849,19849,1,,13
14,unlabelled,0014-unlabelled,19866,20033,5,,14
15,unlabelled,0015-unlabelled,20083,20249,4,,14
16,unlabelled,0016-unlabelled,20316,20466,4,,14
17,unlabelled,0017-unlabelled,20533,20699,4,,14
18,unlabelled,0018-unlabelled,20749,21466,14,,18
19,unlabelled,0019-unlabelled,21516,21516,1,,19
20,unlabelled,0020-unlabelled,21533,21533,1,,3
21,unlabelled,0021-unlabelled,21549,21549,1,,21
22,unlabelled,0022-unlabelled,22399,22399,1,,3
23,unlabelled,0023-unlabelled,22433,23616,16,5 00,23
24,unlabelled,0024-unlabelled,24499,24499,1,,3
25,unlabelled,0025-unlabelled,24533,25716,19,,25
26,unlabelled,0026-unlabelled,26599,26599,1,,3
27,unlabelled,0027-unlabelled,26616,26983,13,,27
28,unlabelled,0028-unlabelled,27866,27866,1,,3
29,unlabelled,0029-unlabelled,27883,27883,1,,29
30,unlabelled,0030-unlabelled,27899,27933,2,,30
31,unlabelled,0031-unlabelled,27949,36799,374,,7
32,unlabelled,0032-unlabelled,36833,36833,1,,3
33,unlabelled,0033-unlabelled,36849,36849,1,,33
34,unlabelled,0034-unlabelled,38299,39733,3,,34
35,unlabelled,0035-unlabelled,41166,42600,2,,35
36,unlabelled,0036-unlabelled,44016,44016,1,,3
37,unlabelled,0037-unlabelled,44033,44200,4,,14
38,unlabelled,0038-unlabelled,44250,44416,4,,14
39,unlabelled,0039-unlabelled,44466,44633,4,,14
40,unlabelled,0040-unlabelled,44700,44850,4,,14
41,unlabelled,0041-unlabelled,44916,45683,18,,41
42,unlabelled,0042-unlabelled,45700,45716,2,,21
43,unlabelled,0043-unlabelled,46600,50016,79,,43
44,unlabelled,0044-unlabelled,50100,55666,121,,44
45,unlabelled,0045-unlabelled,55683,55683,1,,3
46,unlabelled,0046-unlabelled,55700,55700,1,,46
47,unlabelled,0047-unlabelled,55716,55716,1,S.,47
48,unlabelled,0048-unlabelled,55750,55750,1,S.M,48
49,unlabelled,0049-unlabelled,55783,56416,27,S.MOONLIGHT / 300.000.000 / . .,49
50,unlabelled,0050-unlabelled,57300,57300,1,,3
51,unlabelled,0051-unlabelled,57316,57316,1,,51
52,unlabelled,0052-unlabelled,57350,57350,1,J.,52
53,unlabelled,0053-unlabelled,57383,58050,24,J.SUNSHINE / 200.000.000 / . .,53
54,unlabelled,0054-unlabelled,58933,58933,1,,3
55,unlabelled,0055-unlabelled,58950,58950,1,,55
56,unlabelled,0056-unlabelled,58983,58983,1,B.,56
57,unlabelled,0057-unlabelled,59016,59016,1,B.S,57
58,unlabelled,0058-unlabelled,59033,59033,1,B.ST,58
59,unlabelled,0059-unlabelled,59066,59683,26,B.STARWAY / 100.000.000 / . .,59
60,unlabelled,0060-unlabelled,60550,60550,1,,3
61,unlabelled,0061-unlabelled,60583,60583,1,,6
62,unlabelled,0062-unlabelled,60633,69500,377,,7
63,unlabelled,0063-unlabelled,69516,69516,1,,63
64,unlabelled,0064-unlabelled,69533,69533,1,,3
65,unlabelled,0065-unlabelled,69550,70983,2,,9
66,unlabelled,0066-unlabelled,72416,73850,2,,10
67,unlabelled,0067-unlabelled,75283,75283,1,,11
68,unlabelled,0068-unlabelled,76716,76716,1,,12
69,unlabelled,0069-unlabelled,78133,78133,1,,3
70,unlabelled,0070-unlabelled,78166,78316,4,,14
71,unlabelled,0071-unlabelled,78383,78550,4,,14
