id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,666,3,WAITING FOR / 8 BITS CPU,1
2,unlabelled,0002-unlabelled,699,699,1,BALLS OK,2
3,unlabelled,0003-unlabelled,1783,1783,1,,3
4,unlabelled,0004-unlabelled,1916,1949,2,,4
5,unlabelled,0005-unlabelled,1966,8283,268,,5
6,boot,0006-boot,8316,9316,38,,6
7,boot,0007-boot,9349,9349,1,,7
8,boot,0008-boot,9383,9383,1,,8
9,boot,0009-boot,9400,9400,1,1 1 / PLAYER BALL,9
10,boot,0010-boot,9433,9433,1,PLAYER BALL,10
11,boot,0011-boot,9483,9500,2,PLAYER BALL,11
12,boot,0012-boot,9550,9550,1,PLAYER BALL,12
13,boot,0013-boot,9600,9866,11,PLAYER BALL,13
14,boot,0014-boot,9883,9883,1,BALL,14
15,boot,0015-boot,9933,9983,2,BALL,15
16,boot,0016-boot,10000,10000,1,PLAYER BALL,16
17,boot,0017-boot,10050,10050,1,PLAYER BALL,17
18,boot,0018-boot,10100,10100,1,PLAYER BALL,18
19,boot,0019-boot,10166,10166,1,BALL,19
20,boot,0020-boot,10216,10216,1,BALL,20
21,boot,0021-boot,10266,10266,1,PLAYER BALL,21
22,start,0022-start,10316,10316,1,PLAYER BALL,22
23,start,0023-start,10383,10383,1,BALL,23
24,start,0024-start,10433,10433,1,BALL,24
25,start,0025-start,10483,10483,1,PLAYER BALL,25
26,start,0026-start,10550,10550,1,PLAYER BALL,26
27,start,0027-start,10600,10600,1,BALL,27
28,start,0028-start,10650,10650,1,PLAYER BALL,28
29,start,0029-start,10700,10700,1,PLAYER BALL,29
30,start,0030-start,10766,10766,1,PLAYER BALL,30
31,start,0031-start,10816,10816,1,PLAYER BALL,31
32,start,0032-start,10866,10866,1,PLAYER BALL,32
33,start,0033-start,10933,10933,1,PLAYER BALL,33
34,start,0034-start,10983,10983,1,PLAYER BALL,34
35,start,0035-start,11033,11033,1,PLAYER BALL,35
36,start,0036-start,11083,11083,1,PLAYER BALL,36
37,start,0037-start,11150,11150,1,BALL,37
38,start,0038-start,11200,11200,1,PLAYER BALL,38
39,start,0039-start,11250,11250,1,PLAYER BALL,39
40,start,0040-start,11316,11316,1,PLAYER BALL,40
41,start,0041-start,11366,11366,1,PLAYER BALL,41
42,start,0042-start,11416,11416,1,PLAYER BALL,42
43,start,0043-start,11466,11483,2,PLAYER BALL,43
44,start,0044-start,11533,11550,2,PLAYER BALL,44
45,start,0045-start,11583,11600,2,PLAYER BALL,45
46,start,0046-start,11633,11650,2,PLAYER BALL,46
47,start,0047-start,11700,11850,6,PLAYER BALL,47
48,start,0048-start,11866,11933,3,PLAYER BALL,48
49,start,0049-start,11983,11983,1,PLAYER BALL,49
50,start,0050-start,12033,15783,50,1 1 / PLAYER BALL,50
51,plunge,0051-plunge,15983,20833,30,1 1 / PLAYER BALL,51
52,plunge,0052-plunge,20966,20966,1,,52
53,plunge,0053-plunge,20999,20999,1,,3
54,orbits-1,0054-orbits-1,21016,21166,2,,54
55,orbits-1,0055-orbits-1,23149,23149,1,,3
56,orbits-1,0056-orbits-1,23166,23166,1,,56
57,orbits-2,0057-orbits-2,23316,23449,2,,57
58,orbits-2,0058-orbits-2,25299,25299,1,,58
59,orbits-2,0059-orbits-2,25316,25316,1,1 1 / PLAYER BALL,9
60,orbits-3,0060-orbits-3,25349,25349,1,,60
61,orbits-3,0061-orbits-3,25383,25383,1,,3
62,orbits-3,0062-orbits-3,25399,25833,6,,62
63,orbits-3,0063-orbits-3,27466,27466,1,,3
64,orbits-3,0064-orbits-3,27499,27499,1,,56
65,orbits-4,0065-orbits-4,27633,29649,7,,65
66,orbits-4,0066-orbits-4,29666,29666,1,,3
67,orbits-5,0067-orbits-5,29683,31799,9,,67
68,orbits-5,0068-orbits-5,31816,31816,1,,3
69,orbits-5,0069-orbits-5,31833,31833,1,,69
70,orbits-6,0070-orbits-6,31849,32666,7,,70
71,orbits-complete,0071-orbits-complete,33999,33999,1,,71
72,orbits-complete,0072-orbits-complete,34016,34849,8,1 1 / PLAYER BALL,72
73,lock-window-opens,0073-lock-window-opens,35033,58350,151,1 1 / PLAYER BALL,73
74,replacement-ball,0074-replacement-ball,58550,62233,25,1 1 / PLAYER BALL,74
75,scoop1-collect-1,0075-scoop1-collect-1,62433,65533,19,1 1 / PLAYER BALL,75
76,scoop1-collect-1,0076-scoop1-collect-1,65550,65566,2,,76
77,scoop1-collect-1,0077-scoop1-collect-1,65583,65583,1,,3
78,scoop1-collect-1,0078-scoop1-collect-1,65600,65616,2,,78
79,scoop1-collect-1,0079-scoop1-collect-1,65650,65650,1,,79
80,scoop1-collect-1,0080-scoop1-collect-1,65666,65666,1,,80
81,scoop1-collect-1,0081-scoop1-collect-1,65733,65733,1,,81
82,scoop1-collect-1,0082-scoop1-collect-1,65750,65750,1,,78
83,scoop1-collect-1,0083-scoop1-collect-1,65783,65783,1,,83
84,scoop1-collect-1,0084-scoop1-collect-1,65800,65866,2,,84
85,scoop1-collect-1,0085-scoop1-collect-1,65883,65883,1,,78
86,scoop1-collect-1,0086-scoop1-collect-1,65933,65933,1,,80
87,scoop1-collect-1,0087-scoop1-collect-1,66016,66016,1,,78
88,scoop1-collect-1,0088-scoop1-collect-1,66083,66083,1,,80
89,scoop1-collect-1,0089-scoop1-collect-1,66166,66166,1,,78
90,scoop1-collect-1,0090-scoop1-collect-1,66216,66216,1,,80
91,scoop1-collect-1,0091-scoop1-collect-1,66300,66300,1,,78
92,scoop1-collect-1,0092-scoop1-collect-1,66350,66350,1,,80
93,scoop1-collect-1,0093-scoop1-collect-1,66433,66433,1,,78
94,scoop1-collect-1,0094-scoop1-collect-1,66483,66483,1,,80
95,scoop1-collect-1,0095-scoop1-collect-1,66566,66566,1,,78
96,scoop1-collect-1,0096-scoop1-collect-1,66616,66616,1,,80
97,scoop1-collect-1,0097-scoop1-collect-1,66700,66700,1,,78
98,scoop1-collect-1,0098-scoop1-collect-1,66766,66766,1,,80
99,scoop1-collect-1,0099-scoop1-collect-1,66850,66850,1,,78
100,scoop1-collect-1,0100-scoop1-collect-1,66900,66900,1,,80
101,scoop1-collect-1,0101-scoop1-collect-1,66983,66983,1,,78
102,scoop1-collect-1,0102-scoop1-collect-1,67033,67033,1,,80
103,scoop1-collect-1,0103-scoop1-collect-1,67116,67116,1,,78
104,scoop1-collect-1,0104-scoop1-collect-1,67166,67166,1,,80
