id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,666,3,WAITING FOR / 8 BITS CPU,1
2,unlabelled,0002-unlabelled,699,699,1,BALLS OK,2
3,unlabelled,0003-unlabelled,1783,1783,1,,3
4,unlabelled,0004-unlabelled,1916,1949,2,,4
5,unlabelled,0005-unlabelled,1966,8283,268,,5
6,boot,0006-boot,8316,9316,38,,6
7,boot,0007-boot,9349,9349,1,,7
8,boot,0008-boot,9383,9383,1,,8
9,boot,0009-boot,9400,9400,1,1 1 / PLAYER BALL,9
10,boot,0010-boot,9433,9433,1,PLAYER BALL,10
11,boot,0011-boot,9483,9500,2,PLAYER BALL,11
12,boot,0012-boot,9550,9550,1,PLAYER BALL,12
13,boot,0013-boot,9600,9866,11,PLAYER BALL,13
14,boot,0014-boot,9883,9883,1,BALL,14
15,boot,0015-boot,9933,9983,2,BALL,15
16,boot,0016-boot,10000,10000,1,PLAYER BALL,16
17,boot,0017-boot,10050,10050,1,PLAYER BALL,17
18,boot,0018-boot,10100,10100,1,PLAYER BALL,18
19,boot,0019-boot,10166,10166,1,BALL,19
20,boot,0020-boot,10216,10216,1,BALL,20
21,boot,0021-boot,10266,10266,1,PLAYER BALL,21
22,start,0022-start,10316,10316,1,PLAYER BALL,22
23,start,0023-start,10383,10383,1,BALL,23
24,start,0024-start,10433,10433,1,BALL,24
25,start,0025-start,10483,10483,1,PLAYER BALL,25
26,start,0026-start,10550,10550,1,PLAYER BALL,26
27,start,0027-start,10600,10600,1,BALL,27
28,start,0028-start,10650,10650,1,PLAYER BALL,28
29,start,0029-start,10700,10700,1,PLAYER BALL,29
30,start,0030-start,10766,10766,1,PLAYER BALL,30
31,start,0031-start,10816,10816,1,PLAYER BALL,31
32,start,0032-start,10866,10866,1,PLAYER BALL,32
33,start,0033-start,10933,10933,1,PLAYER BALL,33
34,start,0034-start,10983,10983,1,PLAYER BALL,34
35,start,0035-start,11033,11033,1,PLAYER BALL,35
36,start,0036-start,11083,11083,1,PLAYER BALL,36
37,start,0037-start,11150,11150,1,BALL,37
38,start,0038-start,11200,11200,1,PLAYER BALL,38
39,start,0039-start,11250,11250,1,PLAYER BALL,39
40,start,0040-start,11316,11316,1,PLAYER BALL,40
41,start,0041-start,11366,11366,1,PLAYER BALL,41
42,start,0042-start,11416,11416,1,PLAYER BALL,42
43,start,0043-start,11466,11483,2,PLAYER BALL,43
44,start,0044-start,11533,11550,2,PLAYER BALL,44
45,start,0045-start,11583,11600,2,PLAYER BALL,45
46,start,0046-start,11633,11650,2,PLAYER BALL,46
47,start,0047-start,11700,11850,6,PLAYER BALL,47
48,start,0048-start,11866,11933,3,PLAYER BALL,48
49,start,0049-start,11983,11983,1,PLAYER BALL,49
50,start,0050-start,12033,15783,50,1 1 / PLAYER BALL,50
51,plunge,0051-plunge,15983,20083,27,1 1 / PLAYER BALL,51
52,arm-1,0052-arm-1,20249,21216,6,1 1 / PLAYER BALL,52
53,arm-1,0053-arm-1,21399,21399,1,,53
54,arm-1,0054-arm-1,21416,21416,1,,3
55,arm-1,0055-arm-1,21433,21433,1,,55
56,step-1,0056-step-1,21516,22849,20,,56
57,step-1,0057-step-1,22899,22899,1,,3
58,step-1,0058-step-1,22933,22933,1,,58
59,cash-1,0059-cash-1,23066,23366,13,,59
60,play-bumpers-1,0060-play-bumpers-1,25083,25949,11,1 1 / PLAYER BALL,60
61,play-bumpers-1,0061-play-bumpers-1,25966,25983,2,,61
62,play-bumpers-1,0062-play-bumpers-1,25999,29183,52,3,62
63,play-bumpers-1,0063-play-bumpers-1,29266,30099,17,,63
64,play-bumpers-1,0064-play-bumpers-1,30216,35399,80,,64
65,play-ramp1-1,0065-play-ramp1-1,35466,35733,8,,65
66,play-ramp1-1,0066-play-ramp1-1,35783,35833,4,,66
67,play-ramp1-1,0067-play-ramp1-1,35849,35849,1,,67
68,play-ramp1-1,0068-play-ramp1-1,36399,36399,1,,3
69,play-ramp1-1,0069-play-ramp1-1,36416,36933,2,1 1 / PLAYER BALL,69
70,play-ramp1-1,0070-play-ramp1-1,36966,37233,4,1 1 / PLAYER BALL,70
71,play-ramp2-1,0071-play-ramp2-1,37349,37733,3,1 1 / PLAYER BALL,71
72,play-ramp2-1,0072-play-ramp2-1,37749,37749,1,,72
73,play-ramp2-1,0073-play-ramp2-1,37766,37766,1,,73
74,play-ramp2-1,0074-play-ramp2-1,37783,38933,25,,74
75,play-drops-1,0075-play-drops-1,38983,39066,3,755,75
76,play-drops-1,0076-play-drops-1,39083,39733,19,1 1 / PLAYER BALL,76
77,play-drops-1,0077-play-drops-1,39750,39766,2,1 1 / PLAYER BALL,77
78,play-drops-1,0078-play-drops-1,39783,40333,14,1 1 / PLAYER BALL,78
79,play-drops-1,0079-play-drops-1,40400,40400,1,1 1 / PLAYER BALL,79
80,play-drops-1,0080-play-drops-1,40416,40450,2,9. 81 / 1 1 / PLAYER BALL,80
81,play-drops-1,0081-play-drops-1,40466,41050,12,1 1 / PLAYER BALL,81
82,play-drops-1,0082-play-drops-1,41083,41083,1,. . / 1 1 / PLAYER BALL,82
83,play-drops-1,0083-play-drops-1,41100,41100,1,5. 4 / 1 1 / PLAYER BALL,83
84,play-drops-1,0084-play-drops-1,41133,41700,16,1 1 / PLAYER BALL,84
85,play-drops-1,0085-play-drops-1,41733,41750,2,1 1 / PLAYER BALL,85
86,play-drops-1,0086-play-drops-1,41766,41766,1,1 1 / PLAYER BALL,86
87,play-drops-1,0087-play-drops-1,41783,41783,1,1 1 / PLAYER BALL,87
88,play-drops-1,0088-play-drops-1,41800,42566,17,1 1 / PLAYER BALL,88
89,play-drops-1,0089-play-drops-1,42616,42616,1,1 1 / PLAYER BALL,89
90,play-drops-1,0090-play-drops-1,42650,43433,6,1 1 / PLAYER BALL,90
91,play-scoop2-1,0091-play-scoop2-1,43616,47316,22,1 1 / PLAYER BALL,91
92,arm-2,0092-arm-2,47500,48666,9,1 1 / PLAYER BALL,92
93,arm-2,0093-arm-2,48716,48716,1,,93
94,arm-2,0094-arm-2,48750,48750,1,,55
95,step-2,0095-step-2,48833,50316,25,,95
96,cash-2,0096-cash-2,50400,50733,5,,96
97,cash-2,0097-cash-2,50850,51933,19,,97
98,cash-2,0098-cash-2,51983,52283,7,PLAYER BALL,98
99,play-bumpers-2,0099-play-bumpers-2,52333,52333,1,PLAYER BALL,99
100,play-bumpers-2,0100-play-bumpers-2,52400,52400,1,,100
