id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,666,3,WAITING FOR / 8 BITS CPU,1
2,unlabelled,0002-unlabelled,699,699,1,BALLS OK,2
3,unlabelled,0003-unlabelled,1783,1783,1,,3
4,unlabelled,0004-unlabelled,1916,1949,2,,4
5,unlabelled,0005-unlabelled,1966,8283,268,,5
6,boot,0006-boot,8316,9316,38,,6
7,boot,0007-boot,9349,9349,1,,7
8,boot,0008-boot,9383,9383,1,,8
9,boot,0009-boot,9400,9400,1,1 1 / PLAYER BALL,9
10,boot,0010-boot,9433,9433,1,PLAYER BALL,10
11,boot,0011-boot,9483,9500,2,PLAYER BALL,11
12,boot,0012-boot,9550,9550,1,PLAYER BALL,12
13,boot,0013-boot,9600,9866,11,PLAYER BALL,13
14,boot,0014-boot,9883,9883,1,BALL,14
15,boot,0015-boot,9933,9983,2,BALL,15
16,boot,0016-boot,10000,10000,1,PLAYER BALL,16
17,boot,0017-boot,10050,10050,1,PLAYER BALL,17
18,boot,0018-boot,10100,10100,1,PLAYER BALL,18
19,boot,0019-boot,10166,10166,1,BALL,19
20,boot,0020-boot,10216,10216,1,BALL,20
21,boot,0021-boot,10266,10266,1,PLAYER BALL,21
22,start,0022-start,10316,10316,1,PLAYER BALL,22
23,start,0023-start,10383,10383,1,BALL,23
24,start,0024-start,10433,10433,1,BALL,24
25,start,0025-start,10483,10483,1,PLAYER BALL,25
26,start,0026-start,10550,10550,1,PLAYER BALL,26
27,start,0027-start,10600,10600,1,BALL,27
28,start,0028-start,10650,10650,1,PLAYER BALL,28
29,start,0029-start,10700,10700,1,PLAYER BALL,29
30,start,0030-start,10766,10766,1,PLAYER BALL,30
31,start,0031-start,10816,10816,1,PLAYER BALL,31
32,start,0032-start,10866,10866,1,PLAYER BALL,32
33,start,0033-start,10933,10933,1,PLAYER BALL,33
34,start,0034-start,10983,10983,1,PLAYER BALL,34
35,start,0035-start,11033,11033,1,PLAYER BALL,35
36,start,0036-start,11083,11083,1,PLAYER BALL,36
37,start,0037-start,11150,11150,1,BALL,37
38,start,0038-start,11200,11200,1,PLAYER BALL,38
39,start,0039-start,11250,11250,1,PLAYER BALL,39
40,start,0040-start,11316,11316,1,PLAYER BALL,40
41,start,0041-start,11366,11366,1,PLAYER BALL,41
42,start,0042-start,11416,11416,1,PLAYER BALL,42
43,start,0043-start,11466,11483,2,PLAYER BALL,43
44,start,0044-start,11533,11550,2,PLAYER BALL,44
45,start,0045-start,11583,11600,2,PLAYER BALL,45
46,start,0046-start,11633,11650,2,PLAYER BALL,46
47,start,0047-start,11700,11850,6,PLAYER BALL,47
48,start,0048-start,11866,11933,3,PLAYER BALL,48
49,start,0049-start,11983,11983,1,PLAYER BALL,49
50,start,0050-start,12033,15783,50,1 1 / PLAYER BALL,50
51,plunge,0051-plunge,15983,20066,26,1 1 / PLAYER BALL,51
52,orbits-lane4-1,0052-orbits-lane4-1,20249,21016,5,1 1 / PLAYER BALL,52
53,orbits-lane4-1,0053-orbits-lane4-1,21049,21049,1,,53
54,orbits-lane4-1,0054-orbits-lane4-1,21083,21083,1,,3
55,orbits-lane4-1,0055-orbits-lane4-1,21099,21099,1,,55
56,orbits-letter-1,0056-orbits-letter-1,21233,21233,1,,56
57,orbits-lane4-2,0057-orbits-lane4-2,23233,23549,4,1 1 / PLAYER BALL,57
58,orbits-lane4-2,0058-orbits-lane4-2,23566,23566,1,,3
59,orbits-lane4-2,0059-orbits-lane4-2,23583,23599,2,,55
60,orbits-letter-2,0060-orbits-letter-2,23716,23866,4,,60
61,orbits-lane4-3,0061-orbits-lane4-3,25699,25699,1,,61
62,orbits-lane4-3,0062-orbits-lane4-3,25716,25716,1,,62
63,orbits-lane4-3,0063-orbits-lane4-3,25733,25933,3,1 1 / PLAYER BALL,63
64,orbits-lane4-3,0064-orbits-lane4-3,26083,26083,1,,3
65,orbits-lane4-3,0065-orbits-lane4-3,26099,26099,1,,55
66,orbits-letter-3,0066-orbits-letter-3,26233,26516,3,,66
67,orbits-lane4-4,0067-orbits-lane4-4,28249,28466,3,1 1 / PLAYER BALL,67
68,orbits-lane4-4,0068-orbits-lane4-4,28549,28549,1,,68
69,orbits-lane4-4,0069-orbits-lane4-4,28583,28583,1,,55
70,orbits-letter-4,0070-orbits-letter-4,28716,29133,4,,70
71,orbits-lane4-5,0071-orbits-lane4-5,30733,30733,1,,71
72,orbits-lane4-5,0072-orbits-lane4-5,30766,30949,2,1 1 / PLAYER BALL,72
73,orbits-lane4-5,0073-orbits-lane4-5,31066,31066,1,,3
74,orbits-lane4-5,0074-orbits-lane4-5,31083,31083,1,,55
75,orbits-letter-5,0075-orbits-letter-5,31233,31783,6,,75
76,orbits-lane4-6,0076-orbits-lane4-6,33233,33233,1,,76
77,orbits-lane4-6,0077-orbits-lane4-6,33266,33566,4,1 1 / PLAYER BALL,57
78,orbits-lane4-6,0078-orbits-lane4-6,33583,33583,1,,3
79,orbits-lane4-6,0079-orbits-lane4-6,33599,33616,2,,55
80,orbits-letter-6,0080-orbits-letter-6,33733,34433,8,,80
81,orbits-complete,0081-orbits-complete,35716,35716,1,,81
82,orbits-complete,0082-orbits-complete,35733,37099,13,1 1 / PLAYER BALL,82
83,jupiter-lock-1,0083-jupiter-lock-1,37299,37516,4,1 1 / PLAYER BALL,83
84,jupiter-lock-1,0084-jupiter-lock-1,37533,37533,1,,3
85,jupiter-lock-1,0085-jupiter-lock-1,37549,37900,6,,85
86,jupiter-lock-1,0086-jupiter-lock-1,37916,37916,1,,86
87,jupiter-lock-1,0087-jupiter-lock-1,38050,38050,1,,87
88,jupiter-lock-1,0088-jupiter-lock-1,38166,38166,1,,86
89,jupiter-lock-1,0089-jupiter-lock-1,38300,38300,1,,87
90,jupiter-lock-1,0090-jupiter-lock-1,38400,38400,1,,86
91,jupiter-lock-1,0091-jupiter-lock-1,38550,38550,1,,87
92,jupiter-lock-1,0092-jupiter-lock-1,38650,38650,1,,86
93,jupiter-lock-1,0093-jupiter-lock-1,38783,38783,1,,87
94,jupiter-lock-1,0094-jupiter-lock-1,38900,38900,1,,86
95,jupiter-lock-1,0095-jupiter-lock-1,39033,39033,1,,87
96,jupiter-lock-1,0096-jupiter-lock-1,39150,39150,1,,86
97,jupiter-lock-1,0097-jupiter-lock-1,39250,41216,16,1 1 / PLAYER BALL,97
98,replacement-ball-1,0098-replacement-ball-1,41400,44583,27,1 1 / PLAYER BALL,98
