id,label,dir,first_ms,last_ms,frames,text,repr_id
1,unlabelled,0001-unlabelled,316,333,2,WAITING FOR / 8 BITS CPU,1
2,unlabelled,0002-unlabelled,416,449,2,SETTING / DEFAULT VALUES / PRESS START,2
3,boot,0003-boot,699,699,1,,3
4,boot,0004-boot,1099,1099,1,BALLS OK,4
5,boot-setting-country,0005-boot-setting-country,2183,2183,1,,3
6,boot-setting-country,0006-boot-setting-country,2266,2266,1,,6
7,boot-setting-country,0007-boot-setting-country,2316,10616,355,,7
8,attract,0008-attract,10650,11166,20,,8
9,attract,0009-attract,11200,11200,1,,3
10,attract,0010-attract,11233,12666,2,,10
11,attract,0011-attract,14100,15550,3,,11
12,attract,0012-attract,16966,16966,1,,12
13,attract,0013-attract,18400,18400,1,,13
14,attract,0014-attract,19816,19816,1,,3
15,attract,0015-attract,19833,19833,1,,15
16,attract,0016-attract,19849,20016,6,,16
17,attract,0017-attract,20066,20233,4,,16
18,attract,0018-attract,20283,20449,4,,16
19,attract,0019-attract,20499,20666,4,,16
20,attract,0020-attract,20716,21433,14,,20
21,attract,0021-attract,21483,21483,1,,21
22,attract,0022-attract,21499,21499,1,,3
23,attract,0023-attract,21516,21533,2,,23
24,attract,0024-attract,22383,22383,1,,3
25,attract,0025-attract,22399,23599,16,5 00,25
26,attract,0026-attract,24466,24466,1,,3
27,attract,0027-attract,24499,25699,19,,27
28,attract,0028-attract,26566,26566,1,,3
29,attract,0029-attract,26599,26949,13,,29
30,attract,0030-attract,27849,27849,1,,30
31,attract,0031-attract,27866,36783,376,,8
32,attract,0032-attract,36799,36799,1,,3
33,attract,0033-attract,36833,36833,1,,33
34,attract,0034-attract,38266,38266,1,,34
35,attract,0035-attract,39699,39699,1,,35
36,attract,0036-attract,41133,42566,2,,36
37,attract,0037-attract,43983,43983,1,,3
38,attract,0038-attract,44016,44166,4,,16
39,attract,0039-attract,44233,44399,4,,16
40,attract,0040-attract,44449,44616,4,,16
41,attract,0041-attract,44666,44833,4,,16
42,attract,0042-attract,44883,45649,17,,42
43,attract,0043-attract,45666,45666,1,,3
44,attract,0044-attract,45683,45699,2,,23
45,attract,0045-attract,46566,50000,78,,45
46,attract,0046-attract,50083,55633,121,,46
47,attract,0047-attract,55650,55650,1,,3
48,attract,0048-attract,55666,55666,1,,48
49,attract,0049-attract,55700,55700,1,S.,49
50,attract,0050-attract,55716,55716,1,S.M,50
51,attract,0051-attract,55750,56400,27,S.MOONLIGHT / 300.000.000 / . .,51
52,attract,0052-attract,57266,57266,1,,3
53,attract,0053-attract,57300,57300,1,,53
54,attract,0054-attract,57316,57316,1,J.,54
55,attract,0055-attract,57350,58016,24,J.SUNSHINE / 200.000.000 / . .,55
56,attract,0056-attract,58900,58900,1,,3
57,attract,0057-attract,58933,58933,1,,57
58,attract,0058-attract,58950,58950,1,B.,58
59,attract,0059-attract,58983,58983,1,B.S,59
60,attract,0060-attract,59016,59016,1,B.ST,60
61,attract,0061-attract,59033,59650,25,B.STARWAY / 100.000.000 / . .,61
62,attract,0062-attract,60533,60533,1,,3
63,attract,0063-attract,60550,60550,1,,6
64,attract,0064-attract,60616,69466,376,,8
65,attract,0065-attract,69483,69483,1,,65
66,attract,0066-attract,69500,69500,1,,3
67,attract,0067-attract,69516,70950,3,,10
68,attract,0068-attract,72400,73833,2,,11
69,attract,0069-attract,75250,75250,1,,12
70,attract,0070-attract,76700,76700,1,,13
71,attract,0071-attract,78100,78100,1,,3
72,attract,0072-attract,78133,78300,4,,16
73,attract,0073-attract,78350,78516,4,,16
74,attract,0074-attract,78566,78733,4,,16
75,attract,0075-attract,78783,78950,4,,16
76,attract,0076-attract,79016,79733,18,,20
77,attract,0077-attract,79783,79783,1,,3
78,attract,0078-attract,79800,79816,2,,23
79,attract,0079-attract,80700,82683,29,,79
80,attract,0080-attract,82783,85966,71,,80
81,attract,0081-attract,86016,86016,1,,81
82,attract,0082-attract,86083,88616,55,,82
83,attract,0083-attract,88666,88666,1,,83
84,attract,0084-attract,88716,88716,1,,84
85,attract,0085-attract,88783,88783,1,,85
86,attract,0086-attract,88833,88833,1,,86
87,attract,0087-attract,88883,88883,1,,87
88,attract,0088-attract,88933,88933,1,,88
89,attract,0089-attract,89000,89000,1,,89
